,日期,店铺,销量,评分,配送时间,订单状态
423,2024-07-17,鲜粥铺,124.0,4.0,21.0,配送中
424,2024-07-01,炸鸡队长,183.0,4.0,46.0,配送中
425,2024-07-16,老张炒饭,136.0,4.9,,已取消
426,2024-07-12,鲜粥铺,117.0,5.0,39.0,已完成
427,2024-07-27,蜀香麻辣烫,85.0,3.8,47.0,已完成
428,2024-07-19,鲜粥铺,,3.5,21.0,已完成
429,2024-07-22,炸鸡队长,181.0,4.6,26.0,已完成
430,2024-07-23,老张炒饭,183.0,4.1,30.0,已完成
431,2024-07-22,老张炒饭,25.0,3.6,30.0,已完成
432,2024-07-14,炸鸡队长,58.0,4.5,57.0,配送中
433,2024-07-30,炸鸡队长,189.0,4.3,50.0,已取消
434,2024-07-06,蜀香麻辣烫,134.0,5.0,27.0,已取消
435,2024-07-06,老张炒饭,144.0,3.8,21.0,已完成
436,2024-07-13,鲜粥铺,31.0,4.1,50.0,已完成
437,2024-07-19,湘味小炒,150.0,,23.0,已完成
438,2024-07-22,湘味小炒,37.0,4.7,,已完成
439,2024-07-08,炸鸡队长,59.0,4.3,25.0,已完成
440,2024-07-27,蜀香麻辣烫,40.0,4.4,22.0,已完成
441,2024-07-27,湘味小炒,162.0,3.8,47.0,配送中
442,2024-07-02,老张炒饭,118.0,,37.0,已取消
443,2024-07-21,炸鸡队长,45.0,4.1,39.0,已完成
444,2024-07-30,鲜粥铺,27.0,,999.0,已完成
445,2024-07-01,炸鸡队长,119.0,4.5,59.0,已完成
446,2024-07-28,鲜粥铺,106.0,3.8,36.0,已完成
447,2024-07-15,炸鸡队长,61.0,3.6,18.0,配送中
448,2024-07-01,炸鸡队长,191.0,,54.0,已完成
449,2024-07-05,炸鸡队长,33.0,4.2,17.0,已完成
450,2024-07-28,鲜粥铺,97.0,4.6,43.0,已完成
451,2024-07-29,鲜粥铺,21.0,3.9,55.0,已完成
452,2024-07-16,炸鸡队长,138.0,4.7,43.0,已完成
453,2024-07-19,湘味小炒,56.0,3.7,48.0,已取消
454,2024-07-04,蜀香麻辣烫,88.0,4.0,48.0,已完成
455,2024-07-03,蜀香麻辣烫,185.0,5.0,42.0,已完成
456,2024-07-17,蜀香麻辣烫,60.0,,27.0,已完成
457,2024-07-17,鲜粥铺,81.0,4.2,29.0,已完成
458,2024-07-12,鲜粥铺,79.0,4.0,37.0,已取消
459,2024-07-28,湘味小炒,144.0,4.8,58.0,已完成
460,2024-07-30,蜀香麻辣烫,130.0,4.3,40.0,已完成
461,2024-07-29,蜀香麻辣烫,33.0,4.6,18.0,已完成
462,2024-07-14,炸鸡队长,103.0,4.6,40.0,已完成
463,2024-07-21,鲜粥铺,149.0,3.5,54.0,已完成
464,2024-07-06,蜀香麻辣烫,89.0,3.7,23.0,已完成
465,2024-07-03,湘味小炒,164.0,4.5,19.0,已完成
466,2024-07-28,湘味小炒,142.0,3.7,46.0,已取消
467,2024-07-09,蜀香麻辣烫,108.0,3.9,34.0,已完成
468,2024-07-05,鲜粥铺,47.0,4.9,25.0,配送中
469,2024-07-24,湘味小炒,85.0,4.3,29.0,已完成
470,2024-07-29,炸鸡队长,182.0,4.6,46.0,配送中
471,2024-07-17,湘味小炒,24.0,4.3,42.0,已取消
472,2024-07-14,老张炒饭,187.0,4.3,36.0,已完成
473,2024-07-21,老张炒饭,183.0,3.6,55.0,已取消
474,2024-07-31,鲜粥铺,64.0,4.0,31.0,已完成
475,2024-07-03,蜀香麻辣烫,170.0,3.9,40.0,配送中
476,2024-07-28,鲜粥铺,66.0,4.1,58.0,已完成
477,2024-07-01,鲜粥铺,50.0,4.7,21.0,已完成
478,2024-07-20,鲜粥铺,158.0,4.1,56.0,已完成
479,2024-07-31,鲜粥铺,29.0,4.2,40.0,配送中
480,2024-07-29,炸鸡队长,137.0,4.1,39.0,已完成
481,2024-07-21,炸鸡队长,33.0,3.6,24.0,已完成
482,2024-07-23,湘味小炒,99.0,4.2,59.0,已取消
483,2024-07-01,老张炒饭,112.0,3.8,33.0,已取消
484,2024-07-03,鲜粥铺,29.0,3.8,25.0,已完成
485,2024-07-18,湘味小炒,95.0,3.6,27.0,已完成
486,2024-07-25,老张炒饭,113.0,4.0,22.0,已完成
487,2024-07-10,蜀香麻辣烫,124.0,4.6,54.0,已完成
488,2024-07-31,炸鸡队长,20.0,3.9,18.0,已完成
489,2024-07-22,老张炒饭,152.0,4.0,,配送中
490,2024-07-26,蜀香麻辣烫,39.0,4.5,42.0,已完成
491,2024-07-03,老张炒饭,27.0,3.8,25.0,已完成
492,2024-07-08,炸鸡队长,190.0,4.8,57.0,已完成
493,2024-07-14,炸鸡队长,20.0,4.3,15.0,已完成
494,2024-07-24,湘味小炒,76.0,4.2,,已完成
495,2024-07-18,鲜粥铺,,4.3,38.0,已完成
496,2024-07-15,老张炒饭,137.0,3.7,45.0,已完成
497,2024-07-22,老张炒饭,47.0,4.4,55.0,配送中
498,2024-07-23,蜀香麻辣烫,140.0,4.0,40.0,已完成
499,2024-07-02,炸鸡队长,126.0,4.8,19.0,配送中
500,2024-07-31,老张炒饭,184.0,3.8,34.0,已取消
501,2024-07-27,炸鸡队长,194.0,4.3,55.0,已完成
502,2024-07-10,老张炒饭,184.0,,25.0,已取消
503,2024-07-02,湘味小炒,68.0,3.6,47.0,已完成
504,2024-07-26,鲜粥铺,139.0,4.0,52.0,已完成
505,2024-07-17,老张炒饭,63.0,4.6,41.0,已取消
506,2024-07-08,炸鸡队长,75.0,4.7,48.0,已完成
507,2024-07-01,湘味小炒,175.0,4.0,29.0,已完成
508,2024-07-09,老张炒饭,130.0,4.7,999.0,已取消
509,2024-07-11,蜀香麻辣烫,153.0,5.0,35.0,已完成
510,2024-07-22,鲜粥铺,127.0,4.8,19.0,已完成
511,2024-07-16,老张炒饭,167.0,3.7,20.0,配送中
512,2024-07-07,湘味小炒,133.0,4.6,52.0,已完成
513,2024-07-29,蜀香麻辣烫,97.0,,36.0,已完成
514,2024-07-10,湘味小炒,149.0,5.0,32.0,已完成
515,2024-07-23,湘味小炒,56.0,4.2,28.0,已完成
516,2024-07-26,蜀香麻辣烫,39.0,3.7,24.0,已完成
517,2024-07-03,湘味小炒,45.0,4.6,27.0,配送中
518,2024-07-18,蜀香麻辣烫,48.0,4.0,45.0,已完成
519,2024-07-25,老张炒饭,20.0,5.0,44.0,已完成
520,2024-07-24,蜀香麻辣烫,138.0,5.0,17.0,已取消
521,2024-07-13,蜀香麻辣烫,54.0,4.5,44.0,已取消
522,2024-07-28,鲜粥铺,78.0,3.7,20.0,已完成
523,2024-07-26,蜀香麻辣烫,88.0,4.5,43.0,已完成
524,2024-07-07,蜀香麻辣烫,180.0,3.6,22.0,已完成
525,2024-07-25,老张炒饭,,3.5,58.0,已完成
526,2024-07-04,鲜粥铺,31.0,4.7,59.0,已完成
527,2024-07-13,炸鸡队长,39.0,3.8,57.0,已完成
528,2024-07-20,老张炒饭,62.0,4.1,,配送中
529,2024-07-01,老张炒饭,145.0,5.0,47.0,已取消
530,2024-07-08,炸鸡队长,69.0,4.0,31.0,已完成
531,2024-07-14,蜀香麻辣烫,48.0,3.9,25.0,已完成
532,2024-07-16,湘味小炒,58.0,4.9,27.0,已完成
533,2024-07-14,鲜粥铺,190.0,3.7,25.0,已完成
534,2024-07-12,湘味小炒,197.0,4.6,45.0,已完成
535,2024-07-19,炸鸡队长,170.0,5.0,42.0,已取消
536,2024-07-23,老张炒饭,191.0,4.9,58.0,已完成
537,2024-07-15,老张炒饭,57.0,4.5,20.0,已完成
538,2024-07-28,鲜粥铺,103.0,4.0,55.0,已取消
539,2024-07-02,老张炒饭,170.0,3.9,30.0,已完成
540,2024-07-02,老张炒饭,147.0,4.7,18.0,已完成
541,2024-07-23,鲜粥铺,145.0,4.8,49.0,已完成
542,2024-07-31,鲜粥铺,64.0,4.3,,已完成
543,2024-07-22,炸鸡队长,71.0,3.9,26.0,配送中
544,2024-07-19,老张炒饭,99.0,3.7,25.0,已完成
545,2024-07-25,老张炒饭,197.0,3.6,51.0,已完成
546,2024-07-26,炸鸡队长,143.0,4.6,39.0,已完成
547,2024-07-31,蜀香麻辣烫,138.0,4.1,32.0,配送中
548,2024-07-30,蜀香麻辣烫,27.0,,33.0,已完成
549,2024-07-29,蜀香麻辣烫,104.0,4.6,37.0,已完成
550,2024-07-22,炸鸡队长,148.0,3.8,52.0,已完成
551,2024-07-26,老张炒饭,27.0,,,已完成
552,2024-07-26,炸鸡队长,176.0,4.2,40.0,已完成
553,2024-07-22,炸鸡队长,115.0,4.4,20.0,已完成
554,2024-07-17,蜀香麻辣烫,121.0,4.6,18.0,已完成
555,2024-07-20,湘味小炒,24.0,4.7,58.0,已完成
556,2024-07-10,老张炒饭,105.0,4.8,43.0,已取消
557,2024-07-06,蜀香麻辣烫,194.0,3.9,48.0,已完成
558,2024-07-15,湘味小炒,53.0,3.5,31.0,已完成
559,2024-07-22,湘味小炒,74.0,4.6,57.0,已完成
560,2024-07-11,鲜粥铺,138.0,3.7,57.0,配送中
561,2024-07-28,老张炒饭,190.0,4.0,30.0,已完成
562,2024-07-05,湘味小炒,177.0,3.5,16.0,已取消
563,2024-07-01,蜀香麻辣烫,133.0,4.5,,已取消
564,2024-07-08,鲜粥铺,164.0,3.8,22.0,已完成
565,2024-07-21,老张炒饭,45.0,4.5,27.0,配送中
566,2024-07-28,炸鸡队长,155.0,5.0,56.0,已完成
567,2024-07-12,蜀香麻辣烫,66.0,3.6,22.0,已完成
568,2024-07-12,湘味小炒,132.0,3.6,44.0,已取消
569,2024-07-05,湘味小炒,95.0,4.0,46.0,已取消
570,2024-07-07,蜀香麻辣烫,91.0,,50.0,已完成
571,2024-07-04,湘味小炒,108.0,3.8,44.0,已完成
572,2024-07-06,鲜粥铺,65.0,,15.0,已完成
573,2024-07-13,老张炒饭,52.0,3.6,57.0,已取消
574,2024-07-20,鲜粥铺,20.0,4.6,53.0,已完成
575,2024-07-30,湘味小炒,166.0,4.1,31.0,已完成
576,2024-07-15,炸鸡队长,50.0,4.6,34.0,已完成
577,2024-07-03,老张炒饭,161.0,4.9,38.0,已完成
578,2024-07-23,老张炒饭,72.0,3.8,36.0,已取消
579,2024-07-08,蜀香麻辣烫,67.0,4.7,43.0,已完成
580,2024-07-20,蜀香麻辣烫,88.0,3.6,36.0,配送中
581,2024-07-16,炸鸡队长,124.0,4.8,58.0,已完成
582,2024-07-13,老张炒饭,109.0,4.5,23.0,已取消
583,2024-07-18,炸鸡队长,82.0,4.8,51.0,已完成
584,2024-07-28,蜀香麻辣烫,92.0,,24.0,已完成
585,2024-07-10,蜀香麻辣烫,180.0,3.8,50.0,已完成
586,2024-07-30,老张炒饭,188.0,4.1,51.0,已完成
587,2024-07-19,鲜粥铺,108.0,4.1,,已完成
588,2024-07-17,湘味小炒,195.0,3.8,42.0,配送中
589,2024-07-24,蜀香麻辣烫,,4.1,56.0,已完成
590,2024-07-31,蜀香麻辣烫,92.0,3.7,57.0,已完成
591,2024-07-19,鲜粥铺,96.0,4.1,35.0,已完成
592,2024-07-28,鲜粥铺,178.0,4.7,38.0,已完成
593,2024-07-26,炸鸡队长,87.0,4.2,56.0,已完成
594,2024-07-23,炸鸡队长,117.0,3.5,54.0,已取消
595,2024-07-26,湘味小炒,144.0,4.1,16.0,配送中
596,2024-07-05,湘味小炒,121.0,3.5,22.0,已完成
597,2024-07-26,老张炒饭,151.0,4.9,41.0,已完成
598,2024-07-21,炸鸡队长,121.0,3.7,36.0,已完成
599,2024-07-30,蜀香麻辣烫,38.0,4.6,51.0,已完成
600,2024-07-23,炸鸡队长,101.0,5.0,41.0,已完成
601,2024-07-31,蜀香麻辣烫,160.0,,,已完成
602,2024-07-09,鲜粥铺,42.0,4.5,17.0,已完成
603,2024-07-12,炸鸡队长,102.0,4.8,58.0,已完成
604,2024-07-21,鲜粥铺,128.0,5.0,27.0,已取消
605,2024-07-01,湘味小炒,94.0,,59.0,已完成
606,2024-07-26,湘味小炒,148.0,4.3,24.0,已完成
607,2024-07-26,老张炒饭,107.0,4.4,50.0,已完成
608,2024-07-01,炸鸡队长,73.0,4.3,23.0,已完成
609,2024-07-15,鲜粥铺,108.0,4.5,41.0,配送中
610,2024-07-02,蜀香麻辣烫,162.0,4.2,,已取消
611,2024-07-30,湘味小炒,84.0,3.8,15.0,已取消
612,2024-07-22,湘味小炒,95.0,3.7,,已完成
613,2024-07-16,蜀香麻辣烫,162.0,3.6,39.0,已取消
614,2024-07-25,鲜粥铺,168.0,,43.0,已完成
615,2024-07-08,鲜粥铺,166.0,3.6,21.0,已取消
616,2024-07-13,炸鸡队长,79.0,4.4,17.0,已完成
617,2024-07-21,炸鸡队长,112.0,3.9,34.0,配送中
618,2024-07-01,老张炒饭,180.0,4.7,34.0,配送中
619,2024-07-16,湘味小炒,68.0,3.6,44.0,已取消
620,2024-07-29,炸鸡队长,54.0,3.8,49.0,已完成
621,2024-07-07,鲜粥铺,191.0,4.6,49.0,已完成
622,2024-07-31,蜀香麻辣烫,121.0,4.4,53.0,已取消
623,2024-07-05,鲜粥铺,30.0,3.6,41.0,已完成
624,2024-07-22,湘味小炒,118.0,4.8,40.0,已取消
625,2024-07-29,鲜粥铺,129.0,4.8,28.0,已完成
626,2024-07-23,老张炒饭,93.0,4.0,31.0,已完成
627,2024-07-03,湘味小炒,193.0,4.0,32.0,配送中
628,2024-07-12,蜀香麻辣烫,28.0,5.0,59.0,已完成
629,2024-07-26,老张炒饭,22.0,4.4,43.0,已完成
630,2024-07-16,湘味小炒,104.0,4.3,34.0,已完成
631,2024-07-19,蜀香麻辣烫,45.0,4.8,41.0,已完成
632,2024-07-05,老张炒饭,91.0,3.9,32.0,已取消
633,2024-07-22,老张炒饭,67.0,4.1,18.0,已完成
634,2024-07-25,湘味小炒,175.0,3.9,15.0,配送中
635,2024-07-29,炸鸡队长,136.0,4.7,15.0,已取消
636,2024-07-14,老张炒饭,173.0,4.4,40.0,已完成
637,2024-07-28,老张炒饭,172.0,4.5,59.0,已取消
638,2024-07-05,蜀香麻辣烫,31.0,3.9,34.0,已完成
639,2024-07-15,鲜粥铺,152.0,3.8,37.0,已完成
640,2024-07-17,湘味小炒,67.0,4.2,24.0,配送中
641,2024-07-30,湘味小炒,56.0,4.6,25.0,已完成
642,2024-07-14,炸鸡队长,63.0,4.3,55.0,已完成
643,2024-07-30,炸鸡队长,34.0,3.5,55.0,已完成
644,2024-07-20,湘味小炒,62.0,4.8,19.0,已完成
645,2024-07-05,炸鸡队长,195.0,3.6,15.0,已完成
646,2024-07-12,蜀香麻辣烫,106.0,4.9,31.0,已取消
647,2024-07-16,湘味小炒,89.0,3.5,36.0,已完成
648,2024-07-26,炸鸡队长,65.0,4.5,48.0,已完成
649,2024-07-26,湘味小炒,127.0,3.6,59.0,已完成
650,2024-07-16,鲜粥铺,142.0,4.9,55.0,已完成
651,2024-07-21,老张炒饭,190.0,4.2,43.0,已完成
652,2024-07-07,湘味小炒,,3.7,18.0,已完成
653,2024-07-04,老张炒饭,170.0,4.0,19.0,已完成
654,2024-07-01,炸鸡队长,126.0,3.7,999.0,已完成
655,2024-07-30,老张炒饭,99.0,3.8,35.0,已完成
656,2024-07-30,湘味小炒,,4.9,49.0,已完成
657,2024-07-05,鲜粥铺,136.0,4.2,26.0,配送中
658,2024-07-23,炸鸡队长,143.0,4.7,40.0,配送中
659,2024-07-26,湘味小炒,162.0,4.5,33.0,已完成
660,2024-07-10,炸鸡队长,44.0,4.5,59.0,配送中
661,2024-07-22,蜀香麻辣烫,55.0,3.7,21.0,已取消
662,2024-07-05,老张炒饭,70.0,3.9,21.0,已完成
663,2024-07-04,蜀香麻辣烫,34.0,4.7,40.0,已完成
664,2024-07-02,湘味小炒,87.0,5.0,54.0,已取消
665,2024-07-20,鲜粥铺,40.0,3.9,19.0,已取消
666,2024-07-31,炸鸡队长,160.0,3.9,35.0,已完成
667,2024-07-10,老张炒饭,38.0,4.2,28.0,已取消
668,2024-07-26,炸鸡队长,53.0,5.0,18.0,已完成
669,2024-07-19,湘味小炒,97.0,3.9,37.0,已取消
670,2024-07-26,炸鸡队长,144.0,4.1,56.0,配送中
671,2024-07-01,老张炒饭,136.0,4.8,34.0,已完成
672,2024-07-24,湘味小炒,71.0,3.5,29.0,已取消
673,2024-07-05,炸鸡队长,46.0,3.6,,已完成
674,2024-07-13,鲜粥铺,176.0,4.4,43.0,已完成
675,2024-07-04,湘味小炒,175.0,4.9,22.0,已取消
676,2024-07-16,湘味小炒,54.0,3.9,55.0,已完成
677,2024-07-24,鲜粥铺,155.0,4.2,,已完成
678,2024-07-16,蜀香麻辣烫,163.0,4.2,53.0,已完成
679,2024-07-23,老张炒饭,125.0,4.2,42.0,已完成
680,2024-07-02,蜀香麻辣烫,183.0,4.4,41.0,已完成
681,2024-07-17,炸鸡队长,177.0,4.2,18.0,已取消
682,2024-07-28,鲜粥铺,165.0,4.2,29.0,已完成
683,2024-07-27,蜀香麻辣烫,21.0,4.2,49.0,已完成
684,2024-07-20,湘味小炒,196.0,4.4,51.0,已完成
685,2024-07-24,炸鸡队长,96.0,4.3,15.0,已取消
686,2024-07-12,炸鸡队长,151.0,4.8,,配送中
687,2024-07-18,蜀香麻辣烫,109.0,3.6,38.0,配送中
688,2024-07-03,蜀香麻辣烫,108.0,4.7,41.0,已取消
689,2024-07-28,鲜粥铺,113.0,4.8,54.0,已取消
690,2024-07-01,老张炒饭,26.0,3.9,50.0,已完成
691,2024-07-01,蜀香麻辣烫,114.0,4.2,48.0,已完成
692,2024-07-29,蜀香麻辣烫,127.0,,43.0,已完成
693,2024-07-19,湘味小炒,93.0,3.8,,已取消
694,2024-07-11,炸鸡队长,58.0,4.1,38.0,配送中
695,2024-07-05,老张炒饭,160.0,,56.0,已完成
696,2024-07-12,湘味小炒,178.0,3.9,18.0,配送中
697,2024-07-03,鲜粥铺,90.0,,17.0,已完成
698,2024-07-01,鲜粥铺,75.0,3.9,48.0,已完成
699,2024-07-01,蜀香麻辣烫,189.0,,37.0,已完成
700,2024-07-08,蜀香麻辣烫,61.0,4.3,37.0,已完成
701,2024-07-10,鲜粥铺,55.0,4.8,,已完成
702,2024-07-11,蜀香麻辣烫,103.0,4.4,19.0,已完成
703,2024-07-12,老张炒饭,137.0,3.5,45.0,已完成
704,2024-07-29,蜀香麻辣烫,26.0,4.5,55.0,已完成
705,2024-07-13,炸鸡队长,73.0,3.6,20.0,已取消
706,2024-07-12,蜀香麻辣烫,148.0,4.2,51.0,已取消
707,2024-07-31,湘味小炒,191.0,4.9,24.0,配送中
708,2024-07-14,老张炒饭,139.0,3.7,54.0,已完成
709,2024-07-02,湘味小炒,192.0,4.1,21.0,已完成
710,2024-07-29,湘味小炒,125.0,4.6,53.0,已取消
711,2024-07-19,炸鸡队长,66.0,,52.0,已完成
712,2024-07-18,老张炒饭,142.0,4.5,35.0,已完成
713,2024-07-03,老张炒饭,160.0,3.9,34.0,已完成
714,2024-07-23,老张炒饭,138.0,4.5,17.0,已完成
715,2024-07-17,老张炒饭,169.0,3.9,36.0,已完成
716,2024-07-26,老张炒饭,137.0,,18.0,已完成
717,2024-07-08,炸鸡队长,40.0,4.9,42.0,已完成
718,2024-07-29,蜀香麻辣烫,156.0,4.6,26.0,已完成
719,2024-07-26,湘味小炒,45.0,4.8,52.0,已完成
720,2024-07-10,老张炒饭,28.0,3.5,50.0,已完成
721,2024-07-26,蜀香麻辣烫,34.0,4.6,55.0,已完成
722,2024-07-30,蜀香麻辣烫,29.0,4.7,19.0,已完成
723,2024-07-02,湘味小炒,141.0,3.6,27.0,已完成
724,2024-07-19,炸鸡队长,140.0,4.8,37.0,已完成
725,2024-07-09,鲜粥铺,144.0,3.9,44.0,已完成
726,2024-07-07,鲜粥铺,189.0,4.5,51.0,已完成
727,2024-07-04,蜀香麻辣烫,91.0,4.7,39.0,已完成
728,2024-07-26,湘味小炒,171.0,4.5,41.0,配送中
729,2024-07-21,鲜粥铺,68.0,3.6,28.0,已完成
730,2024-07-18,蜀香麻辣烫,173.0,4.4,50.0,已完成
731,2024-07-13,炸鸡队长,110.0,,53.0,已完成
732,2024-07-11,鲜粥铺,56.0,4.9,30.0,已完成
733,2024-07-29,蜀香麻辣烫,87.0,4.1,36.0,已完成
734,2024-07-24,蜀香麻辣烫,69.0,,35.0,已完成
735,2024-07-04,老张炒饭,171.0,4.6,35.0,已取消
736,2024-07-25,炸鸡队长,38.0,4.1,22.0,已完成
737,2024-07-21,老张炒饭,119.0,4.5,30.0,已完成
738,2024-07-29,湘味小炒,79.0,4.5,45.0,已完成
739,2024-07-25,老张炒饭,186.0,4.8,56.0,已取消
740,2024-07-04,老张炒饭,108.0,4.4,24.0,已完成
741,2024-07-10,鲜粥铺,165.0,4.3,46.0,配送中
742,2024-07-05,蜀香麻辣烫,166.0,3.7,48.0,已完成
743,2024-07-09,炸鸡队长,183.0,3.7,23.0,配送中
744,2024-07-24,老张炒饭,88.0,3.7,31.0,配送中
745,2024-07-03,炸鸡队长,194.0,3.8,25.0,已完成
746,2024-07-17,老张炒饭,68.0,4.5,46.0,已完成
747,2024-07-03,湘味小炒,127.0,4.6,24.0,已完成
748,2024-07-16,老张炒饭,180.0,4.3,36.0,已完成
749,2024-07-04,鲜粥铺,138.0,4.7,31.0,已取消
750,2024-07-18,蜀香麻辣烫,168.0,5.0,18.0,已完成
751,2024-07-17,湘味小炒,169.0,,39.0,已完成
752,2024-07-07,老张炒饭,195.0,4.5,35.0,已完成
753,2024-07-24,炸鸡队长,56.0,4.3,51.0,配送中
754,2024-07-23,湘味小炒,162.0,4.2,52.0,已完成
755,2024-07-30,湘味小炒,182.0,3.6,15.0,已完成
756,2024-07-05,老张炒饭,179.0,4.1,39.0,已完成
757,2024-07-12,湘味小炒,30.0,4.9,50.0,配送中
758,2024-07-17,炸鸡队长,157.0,4.7,31.0,已完成
759,2024-07-23,湘味小炒,97.0,3.8,55.0,已完成
760,2024-07-13,炸鸡队长,96.0,4.2,,已完成
761,2024-07-23,老张炒饭,172.0,4.7,16.0,已完成
762,2024-07-25,蜀香麻辣烫,21.0,3.6,54.0,已完成
763,2024-07-03,湘味小炒,83.0,4.1,29.0,配送中
764,2024-07-09,蜀香麻辣烫,54.0,4.8,46.0,已取消
765,2024-07-30,炸鸡队长,26.0,4.1,53.0,已完成
766,2024-07-17,湘味小炒,104.0,3.6,20.0,已取消
767,2024-07-17,鲜粥铺,165.0,4.3,15.0,已完成
768,2024-07-30,蜀香麻辣烫,86.0,4.8,37.0,已取消
769,2024-07-20,湘味小炒,61.0,4.4,53.0,已取消
770,2024-07-16,蜀香麻辣烫,137.0,3.8,31.0,已完成
771,2024-07-25,湘味小炒,144.0,4.1,48.0,已取消
772,2024-07-22,老张炒饭,186.0,4.2,55.0,已完成
773,2024-07-13,蜀香麻辣烫,,4.4,43.0,已完成
774,2024-07-27,鲜粥铺,43.0,4.6,23.0,已完成
775,2024-07-19,鲜粥铺,65.0,3.6,27.0,已完成
776,2024-07-17,炸鸡队长,38.0,4.8,20.0,已取消
777,2024-07-04,湘味小炒,87.0,3.5,20.0,配送中
778,2024-07-12,蜀香麻辣烫,121.0,,34.0,已完成
779,2024-07-29,炸鸡队长,61.0,3.5,17.0,已取消
780,2024-07-09,蜀香麻辣烫,51.0,4.1,31.0,已取消
781,2024-07-19,湘味小炒,186.0,4.3,26.0,已完成
782,2024-07-12,鲜粥铺,128.0,4.3,59.0,已完成
783,2024-07-09,老张炒饭,55.0,3.7,15.0,已完成
784,2024-07-07,鲜粥铺,116.0,4.5,,已完成
785,2024-07-28,炸鸡队长,183.0,3.6,17.0,配送中
786,2024-07-14,老张炒饭,150.0,4.6,40.0,已完成
787,2024-07-31,炸鸡队长,92.0,4.9,29.0,已取消
788,2024-07-20,湘味小炒,155.0,4.0,50.0,已完成
789,2024-07-19,老张炒饭,116.0,4.3,46.0,已完成
790,2024-07-26,炸鸡队长,142.0,4.1,46.0,已完成
791,2024-07-15,湘味小炒,89.0,3.5,18.0,已完成
792,2024-07-16,鲜粥铺,188.0,4.1,32.0,已完成
793,2024-07-21,湘味小炒,32.0,4.7,33.0,已完成
794,2024-07-05,蜀香麻辣烫,68.0,4.4,57.0,已完成
795,2024-07-03,湘味小炒,79.0,3.7,49.0,已完成
796,2024-07-12,湘味小炒,149.0,4.8,54.0,已完成
797,2024-07-25,蜀香麻辣烫,24.0,4.3,28.0,已取消
798,2024-07-20,炸鸡队长,191.0,4.8,47.0,已完成
799,2024-07-27,炸鸡队长,46.0,4.4,28.0,已完成
